Peformance:	 TotalQueryRecords: 69,031	 AverageQueryRecords: 4,060.65	 TotalQueryTime: 0.35 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 11.5294 MB	 runningTime: 0.38 sec
Peformance:	 TotalQueryRecords: 69,031	 AverageQueryRecords: 4,060.65	 TotalQueryTime: 0.33 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 36.2353 MB	 runningTime: 0.35 sec
Peformance:	 TotalQueryRecords: 69,031	 AverageQueryRecords: 4,060.65	 TotalQueryTime: 0.35 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 11.5294 MB	 runningTime: 0.37 sec
Peformance:	 TotalQueryRecords: 69,031	 AverageQueryRecords: 4,060.65	 TotalQueryTime: 0.38 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 36.2353 MB	 runningTime: 0.39 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.43 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 13.5556 MB	 runningTime: 0.46 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.43 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 36.8889 MB	 runningTime: 0.44 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.42 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 13.5556 MB	 runningTime: 0.43 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.45 sec	 AverageQueryTime: 0.03 sec	 AverageMemoryUsage: 36.8889 MB	 runningTime: 0.47 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.41 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 13.5556 MB	 runningTime: 0.43 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.42 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 36.8889 MB	 runningTime: 0.44 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.41 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 13.5556 MB	 runningTime: 0.46 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.42 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 36.8889 MB	 runningTime: 0.47 sec
Peformance:	 TotalQueryRecords: 1,040	 AverageQueryRecords: 260.00	 TotalQueryTime: 0.01 sec	 AverageQueryTime: 0.00 sec	 AverageMemoryUsage: 13.5000 MB	 runningTime: 0.10 sec
Peformance:	 TotalQueryRecords: 1,040	 AverageQueryRecords: 260.00	 TotalQueryTime: 0.01 sec	 AverageQueryTime: 0.00 sec	 AverageMemoryUsage: 13.5000 MB	 runningTime: 0.10 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.41 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 13.5556 MB	 runningTime: 0.46 sec
Peformance:	 TotalQueryRecords: 71,092	 AverageQueryRecords: 72.32	 TotalQueryTime: 5.47 sec	 AverageQueryTime: 0.01 sec	 AverageMemoryUsage: 46.3398 MB	 runningTime: 86.43 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.61 sec	 AverageQueryTime: 0.03 sec	 AverageMemoryUsage: 13.5556 MB	 runningTime: 0.66 sec
Peformance:	 TotalQueryRecords: 121	 AverageQueryRecords: 60.50	 TotalQueryTime: 0.00 sec	 AverageQueryTime: 0.00 sec	 AverageMemoryUsage: 2.0000 MB	 runningTime: 0.00 sec
Peformance:	 TotalQueryRecords: 69,021	 AverageQueryRecords: 3,834.50	 TotalQueryTime: 0.41 sec	 AverageQueryTime: 0.02 sec	 AverageMemoryUsage: 13.5556 MB	 runningTime: 0.46 sec
Peformance:	 TotalQueryRecords: 71,092	 AverageQueryRecords: 72.32	 TotalQueryTime: 1.33 sec	 AverageQueryTime: 0.00 sec	 AverageMemoryUsage: 46.3398 MB	 runningTime: 82.40 sec
Peformance:	 TotalQueryRecords: 71,092	 AverageQueryRecords: 72.32	 TotalQueryTime: 1.27 sec	 AverageQueryTime: 0.00 sec	 AverageMemoryUsage: 46.3398 MB	 runningTime: 80.80 sec
Peformance:	 TotalQueryRecords: 2,479,733	 AverageQueryRecords: 1,222.15	 TotalQueryTime: 500.48 sec	 AverageQueryTime: 0.25 sec	 AverageMemoryUsage: 109.1069 MB	 runningTime: 4,637.15 sec
